Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
university,Chrome 125.0.0.0,,,14-06-2024 14:46:55,14-06-2024 14:47:13,17.484s,FAILED
,,,,,,,
Test Cases/Annauniversity/anna,Chrome 125.0.0.0,,,14-06-2024 14:47:09,14-06-2024 14:47:13,3.636s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:47:09,14-06-2024 14:47:10,1.108s,PASSED
"navigateToUrl(""https://www.annauniv.edu/"")",Chrome 125.0.0.0,,,14-06-2024 14:47:10,14-06-2024 14:47:12,1.442s,PASSED
"click(findTestObject(""Object Repository/Page_Anna University, Chennai/a_Home""))",Chrome 125.0.0.0,,,14-06-2024 14:47:12,14-06-2024 14:47:13,1.057s,FAILED
